image_path,label
train/n02769748/images/n02769748_0.JPEG,n02769748
train/n02769748/images/n02769748_1.JPEG,n02769748
train/n02769748/images/n02769748_10.JPEG,n02769748
train/n02769748/images/n02769748_100.JPEG,n02769748
train/n02769748/images/n02769748_101.JPEG,n02769748
train/n02769748/images/n02769748_102.JPEG,n02769748
train/n02769748/images/n02769748_103.JPEG,n02769748
train/n02769748/images/n02769748_104.JPEG,n02769748
train/n02769748/images/n02769748_105.JPEG,n02769748
train/n02769748/images/n02769748_106.JPEG,n02769748
train/n02769748/images/n02769748_107.JPEG,n02769748
train/n02769748/images/n02769748_108.JPEG,n02769748
train/n02769748/images/n02769748_109.JPEG,n02769748
train/n02769748/images/n02769748_11.JPEG,n02769748
train/n02769748/images/n02769748_110.JPEG,n02769748
train/n02769748/images/n02769748_111.JPEG,n02769748
train/n02769748/images/n02769748_112.JPEG,n02769748
train/n02769748/images/n02769748_113.JPEG,n02769748
train/n02769748/images/n02769748_114.JPEG,n02769748
train/n02769748/images/n02769748_115.JPEG,n02769748
train/n02769748/images/n02769748_116.JPEG,n02769748
train/n02769748/images/n02769748_117.JPEG,n02769748
train/n02769748/images/n02769748_118.JPEG,n02769748
train/n02769748/images/n02769748_119.JPEG,n02769748
train/n02769748/images/n02769748_12.JPEG,n02769748
train/n02769748/images/n02769748_120.JPEG,n02769748
train/n02769748/images/n02769748_121.JPEG,n02769748
train/n02769748/images/n02769748_122.JPEG,n02769748
train/n02769748/images/n02769748_123.JPEG,n02769748
train/n02769748/images/n02769748_124.JPEG,n02769748
train/n02769748/images/n02769748_125.JPEG,n02769748
train/n02769748/images/n02769748_126.JPEG,n02769748
train/n02769748/images/n02769748_127.JPEG,n02769748
train/n02769748/images/n02769748_128.JPEG,n02769748
train/n02769748/images/n02769748_129.JPEG,n02769748
train/n02769748/images/n02769748_13.JPEG,n02769748
train/n02769748/images/n02769748_130.JPEG,n02769748
train/n02769748/images/n02769748_131.JPEG,n02769748
train/n02769748/images/n02769748_132.JPEG,n02769748
train/n02769748/images/n02769748_133.JPEG,n02769748
train/n02769748/images/n02769748_134.JPEG,n02769748
train/n02769748/images/n02769748_135.JPEG,n02769748
train/n02769748/images/n02769748_136.JPEG,n02769748
train/n02769748/images/n02769748_137.JPEG,n02769748
train/n02769748/images/n02769748_138.JPEG,n02769748
train/n02769748/images/n02769748_139.JPEG,n02769748
train/n02769748/images/n02769748_14.JPEG,n02769748
train/n02769748/images/n02769748_140.JPEG,n02769748
train/n02769748/images/n02769748_141.JPEG,n02769748
train/n02769748/images/n02769748_142.JPEG,n02769748
train/n02769748/images/n02769748_143.JPEG,n02769748
train/n02769748/images/n02769748_144.JPEG,n02769748
train/n02769748/images/n02769748_145.JPEG,n02769748
train/n02769748/images/n02769748_146.JPEG,n02769748
train/n02769748/images/n02769748_147.JPEG,n02769748
train/n02769748/images/n02769748_148.JPEG,n02769748
train/n02769748/images/n02769748_149.JPEG,n02769748
train/n02769748/images/n02769748_15.JPEG,n02769748
train/n02769748/images/n02769748_150.JPEG,n02769748
train/n02769748/images/n02769748_151.JPEG,n02769748
train/n02769748/images/n02769748_152.JPEG,n02769748
train/n02769748/images/n02769748_153.JPEG,n02769748
train/n02769748/images/n02769748_154.JPEG,n02769748
train/n02769748/images/n02769748_155.JPEG,n02769748
train/n02769748/images/n02769748_156.JPEG,n02769748
train/n02769748/images/n02769748_157.JPEG,n02769748
train/n02769748/images/n02769748_158.JPEG,n02769748
train/n02769748/images/n02769748_159.JPEG,n02769748
train/n02769748/images/n02769748_16.JPEG,n02769748
train/n02769748/images/n02769748_160.JPEG,n02769748
train/n02769748/images/n02769748_161.JPEG,n02769748
train/n02769748/images/n02769748_162.JPEG,n02769748
train/n02769748/images/n02769748_163.JPEG,n02769748
train/n02769748/images/n02769748_164.JPEG,n02769748
train/n02769748/images/n02769748_165.JPEG,n02769748
train/n02769748/images/n02769748_166.JPEG,n02769748
train/n02769748/images/n02769748_167.JPEG,n02769748
train/n02769748/images/n02769748_168.JPEG,n02769748
train/n02769748/images/n02769748_169.JPEG,n02769748
train/n02769748/images/n02769748_17.JPEG,n02769748
train/n02769748/images/n02769748_170.JPEG,n02769748
train/n02769748/images/n02769748_171.JPEG,n02769748
train/n02769748/images/n02769748_172.JPEG,n02769748
train/n02769748/images/n02769748_173.JPEG,n02769748
train/n02769748/images/n02769748_174.JPEG,n02769748
train/n02769748/images/n02769748_175.JPEG,n02769748
train/n02769748/images/n02769748_176.JPEG,n02769748
train/n02769748/images/n02769748_177.JPEG,n02769748
train/n02769748/images/n02769748_178.JPEG,n02769748
train/n02769748/images/n02769748_179.JPEG,n02769748
train/n02769748/images/n02769748_18.JPEG,n02769748
train/n02769748/images/n02769748_180.JPEG,n02769748
train/n02769748/images/n02769748_181.JPEG,n02769748
train/n02769748/images/n02769748_182.JPEG,n02769748
train/n02769748/images/n02769748_183.JPEG,n02769748
train/n02769748/images/n02769748_184.JPEG,n02769748
train/n02769748/images/n02769748_185.JPEG,n02769748
train/n02769748/images/n02769748_186.JPEG,n02769748
train/n02769748/images/n02769748_187.JPEG,n02769748
train/n02769748/images/n02769748_188.JPEG,n02769748
train/n02769748/images/n02769748_189.JPEG,n02769748
train/n02769748/images/n02769748_19.JPEG,n02769748
train/n02769748/images/n02769748_190.JPEG,n02769748
train/n02769748/images/n02769748_191.JPEG,n02769748
train/n02769748/images/n02769748_192.JPEG,n02769748
train/n02769748/images/n02769748_193.JPEG,n02769748
train/n02769748/images/n02769748_194.JPEG,n02769748
train/n02769748/images/n02769748_195.JPEG,n02769748
train/n02769748/images/n02769748_196.JPEG,n02769748
train/n02769748/images/n02769748_197.JPEG,n02769748
train/n02769748/images/n02769748_198.JPEG,n02769748
train/n02769748/images/n02769748_199.JPEG,n02769748
train/n02769748/images/n02769748_2.JPEG,n02769748
train/n02769748/images/n02769748_20.JPEG,n02769748
train/n02769748/images/n02769748_200.JPEG,n02769748
train/n02769748/images/n02769748_201.JPEG,n02769748
train/n02769748/images/n02769748_202.JPEG,n02769748
train/n02769748/images/n02769748_203.JPEG,n02769748
train/n02769748/images/n02769748_204.JPEG,n02769748
train/n02769748/images/n02769748_205.JPEG,n02769748
train/n02769748/images/n02769748_206.JPEG,n02769748
train/n02769748/images/n02769748_207.JPEG,n02769748
train/n02769748/images/n02769748_208.JPEG,n02769748
train/n02769748/images/n02769748_209.JPEG,n02769748
train/n02769748/images/n02769748_21.JPEG,n02769748
train/n02769748/images/n02769748_210.JPEG,n02769748
train/n02769748/images/n02769748_211.JPEG,n02769748
train/n02769748/images/n02769748_212.JPEG,n02769748
train/n02769748/images/n02769748_213.JPEG,n02769748
train/n02769748/images/n02769748_214.JPEG,n02769748
train/n02769748/images/n02769748_215.JPEG,n02769748
train/n02769748/images/n02769748_216.JPEG,n02769748
train/n02769748/images/n02769748_217.JPEG,n02769748
train/n02769748/images/n02769748_218.JPEG,n02769748
train/n02769748/images/n02769748_219.JPEG,n02769748
train/n02769748/images/n02769748_22.JPEG,n02769748
train/n02769748/images/n02769748_220.JPEG,n02769748
train/n02769748/images/n02769748_221.JPEG,n02769748
train/n02769748/images/n02769748_222.JPEG,n02769748
train/n02769748/images/n02769748_223.JPEG,n02769748
train/n02769748/images/n02769748_224.JPEG,n02769748
train/n02769748/images/n02769748_225.JPEG,n02769748
train/n02769748/images/n02769748_226.JPEG,n02769748
train/n02769748/images/n02769748_227.JPEG,n02769748
train/n02769748/images/n02769748_228.JPEG,n02769748
train/n02769748/images/n02769748_229.JPEG,n02769748
train/n02769748/images/n02769748_23.JPEG,n02769748
train/n02769748/images/n02769748_230.JPEG,n02769748
train/n02769748/images/n02769748_231.JPEG,n02769748
train/n02769748/images/n02769748_232.JPEG,n02769748
train/n02769748/images/n02769748_233.JPEG,n02769748
train/n02769748/images/n02769748_234.JPEG,n02769748
train/n02769748/images/n02769748_235.JPEG,n02769748
train/n02769748/images/n02769748_236.JPEG,n02769748
train/n02769748/images/n02769748_237.JPEG,n02769748
train/n02769748/images/n02769748_238.JPEG,n02769748
train/n02769748/images/n02769748_239.JPEG,n02769748
train/n02769748/images/n02769748_24.JPEG,n02769748
train/n02769748/images/n02769748_240.JPEG,n02769748
train/n02769748/images/n02769748_241.JPEG,n02769748
train/n02769748/images/n02769748_242.JPEG,n02769748
train/n02769748/images/n02769748_243.JPEG,n02769748
train/n02769748/images/n02769748_244.JPEG,n02769748
train/n02769748/images/n02769748_245.JPEG,n02769748
train/n02769748/images/n02769748_246.JPEG,n02769748
